trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.5, 'e': 0.206839702292837}",20,0,-59.384426489476716,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.20270290824698026}",25,0,-69.70655101570121,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.19864885008204064}",25,0,-93.82916072452518,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.19467587308039982}",20,0,-12.270394186792132,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.19078235561879184}",20,0,-103.2628448135488,"{0: 10, 1: 7, 2: 0, 3: 2, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.186966708506416}",25,0,-12.704048229979382,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.18322737433628766}",30,0,-69.93965003015818,"{0: 22, 1: 4, 2: 1, 3: 3, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.1795628268495619}",20,0,-68.75322024310903,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.17597157031257066}",20,0,-49.86680805821699,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.17245213890631925}",30,0,0.8996305026750753,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.16900309612819286}",25,0,-82.6920267482691,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.16562303420562902}",25,0,29.146299486650136,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.16231057352151643}",20,0,-13.12571337692373,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.1590643620510861}",20,0,-53.700044756754615,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.15588307481006436}",25,0,-71.83718360938477,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.15276541331386306}",20,0,-65.55024203265117,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.1497101050475858}",20,0,-42.77296733848976,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.14671590294663409}",20,0,-35.10591478612278,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.1437815848877014}",20,0,-4.50617101896764,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.1409059531899474}",25,0,-28.34128704562181,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.13808783412614842}",25,0,-2.1820282949077483,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.13532607744362546}",20,0,-11.018882844128255,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.13261955589475294}",20,0,-13.268898015312695,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.12996716477685788}",20,0,9.504572107758035,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.12736782148132073}",25,0,-31.332704594227003,"{0: 19, 1: 4, 2: 0, 3: 2, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.12482046505169431}",25,0,-10.650878796005182,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.12232405575066042}",25,0,-33.920754697971375,"{0: 16, 1: 8, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.11987757463564722}",30,0,-69.98648295789744,"{0: 20, 1: 7, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.11748002314293426}",25,0,-31.255412653550923,"{0: 19, 1: 4, 2: 0, 3: 2, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.11513042268007558}",20,0,-62.315080410897345,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.11282781422647406}",20,0,-50.37395078161465,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
